, where, what, value
0, Driver, kernel_time, 0.205313360000
1, Driver, total_time, 0.207810779000
2, GPU[1].CommandProcessor, kernel_time, 0.205312182000
3, GPU[1].SA[0].CU[0], cu_inst_count, 213120.000000000000
4, GPU[1].SA[0].CU[0], cu_CPI, 963.369744744745
5, GPU[1].SA[0].CU[0], cu_IPC, 0.001038023049
6, GPU[1].SA[0].CU[0], simd_inst_count, 135672.000000000000
7, GPU[1].SA[0].CU[0], simd_CPI, 1513.306798749926
8, GPU[1].SA[0].CU[1], cu_inst_count, 213120.000000000000
9, GPU[1].SA[0].CU[1], cu_CPI, 963.369744744745
10, GPU[1].SA[0].CU[1], cu_IPC, 0.001038023049
11, GPU[1].SA[0].CU[1], simd_inst_count, 135583.000000000000
12, GPU[1].SA[0].CU[1], simd_CPI, 1514.300170375342
13, GPU[1].SA[0].CU[2], cu_inst_count, 213120.000000000000
14, GPU[1].SA[0].CU[2], cu_CPI, 963.369744744745
15, GPU[1].SA[0].CU[2], cu_IPC, 0.001038023049
16, GPU[1].SA[0].CU[2], simd_inst_count, 135044.000000000000
17, GPU[1].SA[0].CU[2], simd_CPI, 1520.344184117769
18, GPU[1].SA[0].CU[3], cu_inst_count, 213120.000000000000
19, GPU[1].SA[0].CU[3], cu_CPI, 963.369744744745
20, GPU[1].SA[0].CU[3], cu_IPC, 0.001038023049
21, GPU[1].SA[0].CU[3], simd_inst_count, 135611.000000000000
22, GPU[1].SA[0].CU[3], simd_CPI, 1513.987508387962
23, GPU[1].SA[1].CU[0], cu_inst_count, 213120.000000000000
24, GPU[1].SA[1].CU[0], cu_CPI, 963.369744744745
25, GPU[1].SA[1].CU[0], cu_IPC, 0.001038023049
26, GPU[1].SA[1].CU[0], simd_inst_count, 135754.000000000000
27, GPU[1].SA[1].CU[0], simd_CPI, 1512.392710343710
28, GPU[1].SA[1].CU[1], cu_inst_count, 213120.000000000000
29, GPU[1].SA[1].CU[1], cu_CPI, 963.369744744745
30, GPU[1].SA[1].CU[1], cu_IPC, 0.001038023049
31, GPU[1].SA[1].CU[1], simd_inst_count, 135813.000000000000
32, GPU[1].SA[1].CU[1], simd_CPI, 1511.735695404711
33, GPU[1].SA[1].CU[2], cu_inst_count, 213120.000000000000
34, GPU[1].SA[1].CU[2], cu_CPI, 963.369744744745
35, GPU[1].SA[1].CU[2], cu_IPC, 0.001038023049
36, GPU[1].SA[1].CU[2], simd_inst_count, 135562.000000000000
37, GPU[1].SA[1].CU[2], simd_CPI, 1514.534751626562
38, GPU[1].SA[1].CU[3], cu_inst_count, 213120.000000000000
39, GPU[1].SA[1].CU[3], cu_CPI, 963.369744744745
40, GPU[1].SA[1].CU[3], cu_IPC, 0.001038023049
41, GPU[1].SA[1].CU[3], simd_inst_count, 135775.000000000000
42, GPU[1].SA[1].CU[3], simd_CPI, 1512.158792119315
43, GPU[1].SA[2].CU[0], cu_inst_count, 213120.000000000000
44, GPU[1].SA[2].CU[0], cu_CPI, 963.369744744745
45, GPU[1].SA[2].CU[0], cu_IPC, 0.001038023049
46, GPU[1].SA[2].CU[0], simd_inst_count, 135598.000000000000
47, GPU[1].SA[2].CU[0], simd_CPI, 1514.132656823847
48, GPU[1].SA[2].CU[1], cu_inst_count, 213120.000000000000
49, GPU[1].SA[2].CU[1], cu_CPI, 963.369744744745
50, GPU[1].SA[2].CU[1], cu_IPC, 0.001038023049
51, GPU[1].SA[2].CU[1], simd_inst_count, 135841.000000000000
52, GPU[1].SA[2].CU[1], simd_CPI, 1511.424091400976
53, GPU[1].SA[2].CU[2], cu_inst_count, 213120.000000000000
54, GPU[1].SA[2].CU[2], cu_CPI, 963.369744744745
55, GPU[1].SA[2].CU[2], cu_IPC, 0.001038023049
56, GPU[1].SA[2].CU[2], simd_inst_count, 135723.000000000000
57, GPU[1].SA[2].CU[2], simd_CPI, 1512.738150497705
58, GPU[1].SA[2].CU[3], cu_inst_count, 213120.000000000000
59, GPU[1].SA[2].CU[3], cu_CPI, 963.369744744745
60, GPU[1].SA[2].CU[3], cu_IPC, 0.001038023049
61, GPU[1].SA[2].CU[3], simd_inst_count, 135697.000000000000
62, GPU[1].SA[2].CU[3], simd_CPI, 1513.027996197410
63, GPU[1].SA[3].CU[0], cu_inst_count, 213120.000000000000
64, GPU[1].SA[3].CU[0], cu_CPI, 963.369744744745
65, GPU[1].SA[3].CU[0], cu_IPC, 0.001038023049
66, GPU[1].SA[3].CU[0], simd_inst_count, 136107.000000000000
67, GPU[1].SA[3].CU[0], simd_CPI, 1508.470247672787
68, GPU[1].SA[3].CU[1], cu_inst_count, 213120.000000000000
69, GPU[1].SA[3].CU[1], cu_CPI, 963.369744744745
70, GPU[1].SA[3].CU[1], cu_IPC, 0.001038023049
71, GPU[1].SA[3].CU[1], simd_inst_count, 135954.000000000000
72, GPU[1].SA[3].CU[1], simd_CPI, 1510.167850890742
73, GPU[1].SA[3].CU[2], cu_inst_count, 213120.000000000000
74, GPU[1].SA[3].CU[2], cu_CPI, 963.369744744745
75, GPU[1].SA[3].CU[2], cu_IPC, 0.001038023049
76, GPU[1].SA[3].CU[2], simd_inst_count, 135616.000000000000
77, GPU[1].SA[3].CU[2], simd_CPI, 1513.931689476168
78, GPU[1].SA[3].CU[3], cu_inst_count, 213120.000000000000
79, GPU[1].SA[3].CU[3], cu_CPI, 963.369744744745
80, GPU[1].SA[3].CU[3], cu_IPC, 0.001038023049
81, GPU[1].SA[3].CU[3], simd_inst_count, 135849.000000000000
82, GPU[1].SA[3].CU[3], simd_CPI, 1511.335085278507
83, GPU[1].SA[4].CU[0], cu_inst_count, 278636.000000000000
84, GPU[1].SA[4].CU[0], cu_CPI, 736.851519545213
85, GPU[1].SA[4].CU[0], cu_IPC, 0.001357125518
86, GPU[1].SA[4].CU[0], simd_inst_count, 163986.000000000000
87, GPU[1].SA[4].CU[0], simd_CPI, 1252.017611259497
88, GPU[1].SA[4].CU[1], cu_inst_count, 278636.000000000000
89, GPU[1].SA[4].CU[1], cu_CPI, 736.851519545213
90, GPU[1].SA[4].CU[1], cu_IPC, 0.001357125518
91, GPU[1].SA[4].CU[1], simd_inst_count, 163907.000000000000
92, GPU[1].SA[4].CU[1], simd_CPI, 1252.621059503255
93, GPU[1].SA[4].CU[2], cu_inst_count, 278636.000000000000
94, GPU[1].SA[4].CU[2], cu_CPI, 736.851519545213
95, GPU[1].SA[4].CU[2], cu_IPC, 0.001357125518
96, GPU[1].SA[4].CU[2], simd_inst_count, 163921.000000000000
97, GPU[1].SA[4].CU[2], simd_CPI, 1252.514076902898
98, GPU[1].SA[4].CU[3], cu_inst_count, 278636.000000000000
99, GPU[1].SA[4].CU[3], cu_CPI, 736.851519545213
100, GPU[1].SA[4].CU[3], cu_IPC, 0.001357125518
101, GPU[1].SA[4].CU[3], simd_inst_count, 163903.000000000000
102, GPU[1].SA[4].CU[3], simd_CPI, 1252.651629317340
103, GPU[1].SA[5].CU[0], cu_inst_count, 278636.000000000000
104, GPU[1].SA[5].CU[0], cu_CPI, 736.851519545213
105, GPU[1].SA[5].CU[0], cu_IPC, 0.001357125518
106, GPU[1].SA[5].CU[0], simd_inst_count, 163907.000000000000
107, GPU[1].SA[5].CU[0], simd_CPI, 1252.621059503255
108, GPU[1].SA[5].CU[1], cu_inst_count, 278636.000000000000
109, GPU[1].SA[5].CU[1], cu_CPI, 736.851519545213
110, GPU[1].SA[5].CU[1], cu_IPC, 0.001357125518
111, GPU[1].SA[5].CU[1], simd_inst_count, 163907.000000000000
112, GPU[1].SA[5].CU[1], simd_CPI, 1252.621059503255
113, GPU[1].SA[5].CU[2], cu_inst_count, 278636.000000000000
114, GPU[1].SA[5].CU[2], cu_CPI, 736.851519545213
115, GPU[1].SA[5].CU[2], cu_IPC, 0.001357125518
116, GPU[1].SA[5].CU[2], simd_inst_count, 163921.000000000000
117, GPU[1].SA[5].CU[2], simd_CPI, 1252.514076902898
118, GPU[1].SA[5].CU[3], cu_inst_count, 278636.000000000000
119, GPU[1].SA[5].CU[3], cu_CPI, 736.851519545213
120, GPU[1].SA[5].CU[3], cu_IPC, 0.001357125518
121, GPU[1].SA[5].CU[3], simd_inst_count, 163901.000000000000
122, GPU[1].SA[5].CU[3], simd_CPI, 1252.666914783924
123, GPU[1].SA[6].CU[0], cu_inst_count, 278636.000000000000
124, GPU[1].SA[6].CU[0], cu_CPI, 736.851519545213
125, GPU[1].SA[6].CU[0], cu_IPC, 0.001357125518
126, GPU[1].SA[6].CU[0], simd_inst_count, 163902.000000000000
127, GPU[1].SA[6].CU[0], simd_CPI, 1252.659272004002
128, GPU[1].SA[6].CU[1], cu_inst_count, 278636.000000000000
129, GPU[1].SA[6].CU[1], cu_CPI, 736.851519545213
130, GPU[1].SA[6].CU[1], cu_IPC, 0.001357125518
131, GPU[1].SA[6].CU[1], simd_inst_count, 163911.000000000000
132, GPU[1].SA[6].CU[1], simd_CPI, 1252.590491181190
133, GPU[1].SA[6].CU[2], cu_inst_count, 278636.000000000000
134, GPU[1].SA[6].CU[2], cu_CPI, 736.851519545213
135, GPU[1].SA[6].CU[2], cu_IPC, 0.001357125518
136, GPU[1].SA[6].CU[2], simd_inst_count, 163925.000000000000
137, GPU[1].SA[6].CU[2], simd_CPI, 1252.483513802043
138, GPU[1].SA[6].CU[3], cu_inst_count, 278636.000000000000
139, GPU[1].SA[6].CU[3], cu_CPI, 736.851519545213
140, GPU[1].SA[6].CU[3], cu_IPC, 0.001357125518
141, GPU[1].SA[6].CU[3], simd_inst_count, 163917.000000000000
142, GPU[1].SA[6].CU[3], simd_CPI, 1252.544641495391
143, GPU[1].SA[7].CU[0], cu_inst_count, 278636.000000000000
144, GPU[1].SA[7].CU[0], cu_CPI, 736.851519545213
145, GPU[1].SA[7].CU[0], cu_IPC, 0.001357125518
146, GPU[1].SA[7].CU[0], simd_inst_count, 163929.000000000000
147, GPU[1].SA[7].CU[0], simd_CPI, 1252.452952192717
148, GPU[1].SA[7].CU[1], cu_inst_count, 278636.000000000000
149, GPU[1].SA[7].CU[1], cu_CPI, 736.851519545213
150, GPU[1].SA[7].CU[1], cu_IPC, 0.001357125518
151, GPU[1].SA[7].CU[1], simd_inst_count, 163935.000000000000
152, GPU[1].SA[7].CU[1], simd_CPI, 1252.407112575106
153, GPU[1].SA[7].CU[2], cu_inst_count, 278636.000000000000
154, GPU[1].SA[7].CU[2], cu_CPI, 736.851519545213
155, GPU[1].SA[7].CU[2], cu_IPC, 0.001357125518
156, GPU[1].SA[7].CU[2], simd_inst_count, 163906.000000000000
157, GPU[1].SA[7].CU[2], simd_CPI, 1252.628701816895
158, GPU[1].SA[7].CU[3], cu_inst_count, 278636.000000000000
159, GPU[1].SA[7].CU[3], cu_CPI, 736.851519545213
160, GPU[1].SA[7].CU[3], cu_IPC, 0.001357125518
161, GPU[1].SA[7].CU[3], simd_inst_count, 163904.000000000000
162, GPU[1].SA[7].CU[3], simd_CPI, 1252.643986723936
163, GPU[1].SA[8].CU[0], cu_inst_count, 0.000000000000
164, GPU[1].SA[8].CU[0], cu_CPI, +Inf
165, GPU[1].SA[8].CU[0], cu_IPC, 0.000000000000
166, GPU[1].SA[8].CU[0], simd_inst_count, 0.000000000000
167, GPU[1].SA[8].CU[0], simd_CPI, +Inf
168, GPU[1].SA[8].CU[1], cu_inst_count, 0.000000000000
169, GPU[1].SA[8].CU[1], cu_CPI, +Inf
170, GPU[1].SA[8].CU[1], cu_IPC, 0.000000000000
171, GPU[1].SA[8].CU[1], simd_inst_count, 0.000000000000
172, GPU[1].SA[8].CU[1], simd_CPI, +Inf
173, GPU[1].SA[8].CU[2], cu_inst_count, 0.000000000000
174, GPU[1].SA[8].CU[2], cu_CPI, +Inf
175, GPU[1].SA[8].CU[2], cu_IPC, 0.000000000000
176, GPU[1].SA[8].CU[2], simd_inst_count, 0.000000000000
177, GPU[1].SA[8].CU[2], simd_CPI, +Inf
178, GPU[1].SA[8].CU[3], cu_inst_count, 0.000000000000
179, GPU[1].SA[8].CU[3], cu_CPI, +Inf
180, GPU[1].SA[8].CU[3], cu_IPC, 0.000000000000
181, GPU[1].SA[8].CU[3], simd_inst_count, 0.000000000000
182, GPU[1].SA[8].CU[3], simd_CPI, +Inf
183, GPU[1].SA[9].CU[0], cu_inst_count, 0.000000000000
184, GPU[1].SA[9].CU[0], cu_CPI, +Inf
185, GPU[1].SA[9].CU[0], cu_IPC, 0.000000000000
186, GPU[1].SA[9].CU[0], simd_inst_count, 0.000000000000
187, GPU[1].SA[9].CU[0], simd_CPI, +Inf
188, GPU[1].SA[9].CU[1], cu_inst_count, 0.000000000000
189, GPU[1].SA[9].CU[1], cu_CPI, +Inf
190, GPU[1].SA[9].CU[1], cu_IPC, 0.000000000000
191, GPU[1].SA[9].CU[1], simd_inst_count, 0.000000000000
192, GPU[1].SA[9].CU[1], simd_CPI, +Inf
193, GPU[1].SA[9].CU[2], cu_inst_count, 0.000000000000
194, GPU[1].SA[9].CU[2], cu_CPI, +Inf
195, GPU[1].SA[9].CU[2], cu_IPC, 0.000000000000
196, GPU[1].SA[9].CU[2], simd_inst_count, 0.000000000000
197, GPU[1].SA[9].CU[2], simd_CPI, +Inf
198, GPU[1].SA[9].CU[3], cu_inst_count, 0.000000000000
199, GPU[1].SA[9].CU[3], cu_CPI, +Inf
200, GPU[1].SA[9].CU[3], cu_IPC, 0.000000000000
201, GPU[1].SA[9].CU[3], simd_inst_count, 0.000000000000
202, GPU[1].SA[9].CU[3], simd_CPI, +Inf
203, GPU[1].SA[10].CU[0], cu_inst_count, 0.000000000000
204, GPU[1].SA[10].CU[0], cu_CPI, +Inf
205, GPU[1].SA[10].CU[0], cu_IPC, 0.000000000000
206, GPU[1].SA[10].CU[0], simd_inst_count, 0.000000000000
207, GPU[1].SA[10].CU[0], simd_CPI, +Inf
208, GPU[1].SA[10].CU[1], cu_inst_count, 0.000000000000
209, GPU[1].SA[10].CU[1], cu_CPI, +Inf
210, GPU[1].SA[10].CU[1], cu_IPC, 0.000000000000
211, GPU[1].SA[10].CU[1], simd_inst_count, 0.000000000000
212, GPU[1].SA[10].CU[1], simd_CPI, +Inf
213, GPU[1].SA[10].CU[2], cu_inst_count, 0.000000000000
214, GPU[1].SA[10].CU[2], cu_CPI, +Inf
215, GPU[1].SA[10].CU[2], cu_IPC, 0.000000000000
216, GPU[1].SA[10].CU[2], simd_inst_count, 0.000000000000
217, GPU[1].SA[10].CU[2], simd_CPI, +Inf
218, GPU[1].SA[10].CU[3], cu_inst_count, 0.000000000000
219, GPU[1].SA[10].CU[3], cu_CPI, +Inf
220, GPU[1].SA[10].CU[3], cu_IPC, 0.000000000000
221, GPU[1].SA[10].CU[3], simd_inst_count, 0.000000000000
222, GPU[1].SA[10].CU[3], simd_CPI, +Inf
223, GPU[1].SA[11].CU[0], cu_inst_count, 0.000000000000
224, GPU[1].SA[11].CU[0], cu_CPI, +Inf
225, GPU[1].SA[11].CU[0], cu_IPC, 0.000000000000
226, GPU[1].SA[11].CU[0], simd_inst_count, 0.000000000000
227, GPU[1].SA[11].CU[0], simd_CPI, +Inf
228, GPU[1].SA[11].CU[1], cu_inst_count, 0.000000000000
229, GPU[1].SA[11].CU[1], cu_CPI, +Inf
230, GPU[1].SA[11].CU[1], cu_IPC, 0.000000000000
231, GPU[1].SA[11].CU[1], simd_inst_count, 0.000000000000
232, GPU[1].SA[11].CU[1], simd_CPI, +Inf
233, GPU[1].SA[11].CU[2], cu_inst_count, 0.000000000000
234, GPU[1].SA[11].CU[2], cu_CPI, +Inf
235, GPU[1].SA[11].CU[2], cu_IPC, 0.000000000000
236, GPU[1].SA[11].CU[2], simd_inst_count, 0.000000000000
237, GPU[1].SA[11].CU[2], simd_CPI, +Inf
238, GPU[1].SA[11].CU[3], cu_inst_count, 0.000000000000
239, GPU[1].SA[11].CU[3], cu_CPI, +Inf
240, GPU[1].SA[11].CU[3], cu_IPC, 0.000000000000
241, GPU[1].SA[11].CU[3], simd_inst_count, 0.000000000000
242, GPU[1].SA[11].CU[3], simd_CPI, +Inf
243, GPU[1].SA[12].CU[0], cu_inst_count, 0.000000000000
244, GPU[1].SA[12].CU[0], cu_CPI, +Inf
245, GPU[1].SA[12].CU[0], cu_IPC, 0.000000000000
246, GPU[1].SA[12].CU[0], simd_inst_count, 0.000000000000
247, GPU[1].SA[12].CU[0], simd_CPI, +Inf
248, GPU[1].SA[12].CU[1], cu_inst_count, 0.000000000000
249, GPU[1].SA[12].CU[1], cu_CPI, +Inf
250, GPU[1].SA[12].CU[1], cu_IPC, 0.000000000000
251, GPU[1].SA[12].CU[1], simd_inst_count, 0.000000000000
252, GPU[1].SA[12].CU[1], simd_CPI, +Inf
253, GPU[1].SA[12].CU[2], cu_inst_count, 0.000000000000
254, GPU[1].SA[12].CU[2], cu_CPI, +Inf
255, GPU[1].SA[12].CU[2], cu_IPC, 0.000000000000
256, GPU[1].SA[12].CU[2], simd_inst_count, 0.000000000000
257, GPU[1].SA[12].CU[2], simd_CPI, +Inf
258, GPU[1].SA[12].CU[3], cu_inst_count, 0.000000000000
259, GPU[1].SA[12].CU[3], cu_CPI, +Inf
260, GPU[1].SA[12].CU[3], cu_IPC, 0.000000000000
261, GPU[1].SA[12].CU[3], simd_inst_count, 0.000000000000
262, GPU[1].SA[12].CU[3], simd_CPI, +Inf
263, GPU[1].SA[13].CU[0], cu_inst_count, 0.000000000000
264, GPU[1].SA[13].CU[0], cu_CPI, +Inf
265, GPU[1].SA[13].CU[0], cu_IPC, 0.000000000000
266, GPU[1].SA[13].CU[0], simd_inst_count, 0.000000000000
267, GPU[1].SA[13].CU[0], simd_CPI, +Inf
268, GPU[1].SA[13].CU[1], cu_inst_count, 0.000000000000
269, GPU[1].SA[13].CU[1], cu_CPI, +Inf
270, GPU[1].SA[13].CU[1], cu_IPC, 0.000000000000
271, GPU[1].SA[13].CU[1], simd_inst_count, 0.000000000000
272, GPU[1].SA[13].CU[1], simd_CPI, +Inf
273, GPU[1].SA[13].CU[2], cu_inst_count, 0.000000000000
274, GPU[1].SA[13].CU[2], cu_CPI, +Inf
275, GPU[1].SA[13].CU[2], cu_IPC, 0.000000000000
276, GPU[1].SA[13].CU[2], simd_inst_count, 0.000000000000
277, GPU[1].SA[13].CU[2], simd_CPI, +Inf
278, GPU[1].SA[13].CU[3], cu_inst_count, 0.000000000000
279, GPU[1].SA[13].CU[3], cu_CPI, +Inf
280, GPU[1].SA[13].CU[3], cu_IPC, 0.000000000000
281, GPU[1].SA[13].CU[3], simd_inst_count, 0.000000000000
282, GPU[1].SA[13].CU[3], simd_CPI, +Inf
283, GPU[1].SA[14].CU[0], cu_inst_count, 0.000000000000
284, GPU[1].SA[14].CU[0], cu_CPI, +Inf
285, GPU[1].SA[14].CU[0], cu_IPC, 0.000000000000
286, GPU[1].SA[14].CU[0], simd_inst_count, 0.000000000000
287, GPU[1].SA[14].CU[0], simd_CPI, +Inf
288, GPU[1].SA[14].CU[1], cu_inst_count, 0.000000000000
289, GPU[1].SA[14].CU[1], cu_CPI, +Inf
290, GPU[1].SA[14].CU[1], cu_IPC, 0.000000000000
291, GPU[1].SA[14].CU[1], simd_inst_count, 0.000000000000
292, GPU[1].SA[14].CU[1], simd_CPI, +Inf
293, GPU[1].SA[14].CU[2], cu_inst_count, 0.000000000000
294, GPU[1].SA[14].CU[2], cu_CPI, +Inf
295, GPU[1].SA[14].CU[2], cu_IPC, 0.000000000000
296, GPU[1].SA[14].CU[2], simd_inst_count, 0.000000000000
297, GPU[1].SA[14].CU[2], simd_CPI, +Inf
298, GPU[1].SA[14].CU[3], cu_inst_count, 0.000000000000
299, GPU[1].SA[14].CU[3], cu_CPI, +Inf
300, GPU[1].SA[14].CU[3], cu_IPC, 0.000000000000
301, GPU[1].SA[14].CU[3], simd_inst_count, 0.000000000000
302, GPU[1].SA[14].CU[3], simd_CPI, +Inf
303, GPU[1].SA[15].CU[0], cu_inst_count, 0.000000000000
304, GPU[1].SA[15].CU[0], cu_CPI, +Inf
305, GPU[1].SA[15].CU[0], cu_IPC, 0.000000000000
306, GPU[1].SA[15].CU[0], simd_inst_count, 0.000000000000
307, GPU[1].SA[15].CU[0], simd_CPI, +Inf
308, GPU[1].SA[15].CU[1], cu_inst_count, 0.000000000000
309, GPU[1].SA[15].CU[1], cu_CPI, +Inf
310, GPU[1].SA[15].CU[1], cu_IPC, 0.000000000000
311, GPU[1].SA[15].CU[1], simd_inst_count, 0.000000000000
312, GPU[1].SA[15].CU[1], simd_CPI, +Inf
313, GPU[1].SA[15].CU[2], cu_inst_count, 0.000000000000
314, GPU[1].SA[15].CU[2], cu_CPI, +Inf
315, GPU[1].SA[15].CU[2], cu_IPC, 0.000000000000
316, GPU[1].SA[15].CU[2], simd_inst_count, 0.000000000000
317, GPU[1].SA[15].CU[2], simd_CPI, +Inf
318, GPU[1].SA[15].CU[3], cu_inst_count, 0.000000000000
319, GPU[1].SA[15].CU[3], cu_CPI, +Inf
320, GPU[1].SA[15].CU[3], cu_IPC, 0.000000000000
321, GPU[1].SA[15].CU[3], simd_inst_count, 0.000000000000
322, GPU[1].SA[15].CU[3], simd_CPI, +Inf
323, GPU[1].SA[0].CU[0], CPIStack.VALU, 2.687302927923
324, GPU[1].SA[0].CU[0], CPIStack.Fetch, 0.003903903904
325, GPU[1].SA[0].CU[0], CPIStack.ScalarMem, 0.003889827327
326, GPU[1].SA[0].CU[0], CPIStack.ScalarInst, 0.307479354361
327, GPU[1].SA[0].CU[0], CPIStack.VMem, 940.928725600592
328, GPU[1].SA[0].CU[0], CPIStack.Idle, 0.000018768769
329, GPU[1].SA[0].CU[0], CPIStack.Branch, 0.230550863370
330, GPU[1].SA[0].CU[0], CPIStack.VMemInst, 0.000351914414
331, GPU[1].SA[0].CU[0], CPIStack.Special, 0.000018768769
332, GPU[1].SA[0].CU[0], CPIStack.total, 963.383830705706
333, GPU[1].SA[0].CU[0], CPIStack.ScalarMemInst, 0.000028153153
334, GPU[1].SA[0].CU[0], SIMDCPIStack.total, 1789.093429766469
335, GPU[1].SA[0].CU[0], SIMDCPIStack.Fetch, 0.007249912862
336, GPU[1].SA[0].CU[0], SIMDCPIStack.ScalarMemInst, 0.000052283025
337, GPU[1].SA[0].CU[0], SIMDCPIStack.ScalarInst, 0.571017776241
338, GPU[1].SA[0].CU[0], SIMDCPIStack.VMem, 1747.392209829193
339, GPU[1].SA[0].CU[0], SIMDCPIStack.Idle, 0.000034855350
340, GPU[1].SA[0].CU[0], SIMDCPIStack.VALU, 4.990571627735
341, GPU[1].SA[0].CU[0], SIMDCPIStack.ScalarMem, 0.007223771349
342, GPU[1].SA[0].CU[0], SIMDCPIStack.Special, 0.000034855350
343, GPU[1].SA[0].CU[0], SIMDCPIStack.Branch, 0.428154409214
344, GPU[1].SA[0].CU[0], SIMDCPIStack.VMemInst, 0.000653537818
345, GPU[1].SA[0].CU[1], CPIStack.VMem, 941.176449887390
346, GPU[1].SA[0].CU[1], CPIStack.ScalarMemInst, 0.000028153153
347, GPU[1].SA[0].CU[1], CPIStack.Branch, 0.230550863361
348, GPU[1].SA[0].CU[1], CPIStack.Fetch, 0.003880442943
349, GPU[1].SA[0].CU[1], CPIStack.ScalarInst, 0.307484046548
350, GPU[1].SA[0].CU[1], CPIStack.VALU, 2.687312312310
351, GPU[1].SA[0].CU[1], CPIStack.total, 963.383807244745
352, GPU[1].SA[0].CU[1], CPIStack.Idle, 0.000004692192
353, GPU[1].SA[0].CU[1], CPIStack.ScalarMem, 0.003889827327
354, GPU[1].SA[0].CU[1], CPIStack.Special, 0.000023460961
355, GPU[1].SA[0].CU[1], CPIStack.VMemInst, 0.000351914415
356, GPU[1].SA[0].CU[1], SIMDCPIStack.VMemInst, 0.000653537818
357, GPU[1].SA[0].CU[1], SIMDCPIStack.ScalarInst, 0.571026490068
358, GPU[1].SA[0].CU[1], SIMDCPIStack.Special, 0.000043569188
359, GPU[1].SA[0].CU[1], SIMDCPIStack.Idle, 0.000008713838
360, GPU[1].SA[0].CU[1], SIMDCPIStack.ScalarMemInst, 0.000052283025
361, GPU[1].SA[0].CU[1], SIMDCPIStack.total, 1789.093386197281
362, GPU[1].SA[0].CU[1], SIMDCPIStack.VALU, 4.990589055416
363, GPU[1].SA[0].CU[1], SIMDCPIStack.Branch, 0.428154409198
364, GPU[1].SA[0].CU[1], SIMDCPIStack.ScalarMem, 0.007223771349
365, GPU[1].SA[0].CU[1], SIMDCPIStack.VMem, 1747.852256883937
366, GPU[1].SA[0].CU[1], SIMDCPIStack.Fetch, 0.007206343674
367, GPU[1].SA[0].CU[2], CPIStack.VALU, 2.687772147153
368, GPU[1].SA[0].CU[2], CPIStack.Special, 0.000018768769
369, GPU[1].SA[0].CU[2], CPIStack.Fetch, 0.003856981982
370, GPU[1].SA[0].CU[2], CPIStack.ScalarMemInst, 0.000028153153
371, GPU[1].SA[0].CU[2], CPIStack.ScalarMem, 0.003899211712
372, GPU[1].SA[0].CU[2], CPIStack.ScalarInst, 0.307376126126
373, GPU[1].SA[0].CU[2], CPIStack.total, 963.383783783784
374, GPU[1].SA[0].CU[2], CPIStack.Idle, 0.000004692192
375, GPU[1].SA[0].CU[2], CPIStack.VMemInst, 0.000351914414
376, GPU[1].SA[0].CU[2], CPIStack.Branch, 0.230522710215
377, GPU[1].SA[0].CU[2], CPIStack.VMem, 939.672161223713
378, GPU[1].SA[0].CU[2], SIMDCPIStack.Fetch, 0.007162774486
379, GPU[1].SA[0].CU[2], SIMDCPIStack.ScalarMemInst, 0.000052283025
380, GPU[1].SA[0].CU[2], SIMDCPIStack.total, 1789.093342628094
381, GPU[1].SA[0].CU[2], SIMDCPIStack.VALU, 4.991443011513
382, GPU[1].SA[0].CU[2], SIMDCPIStack.Branch, 0.428102126185
383, GPU[1].SA[0].CU[2], SIMDCPIStack.Special, 0.000034855350
384, GPU[1].SA[0].CU[2], SIMDCPIStack.ScalarMem, 0.007241199024
385, GPU[1].SA[0].CU[2], SIMDCPIStack.Idle, 0.000008713838
386, GPU[1].SA[0].CU[2], SIMDCPIStack.VMemInst, 0.000653537818
387, GPU[1].SA[0].CU[2], SIMDCPIStack.ScalarInst, 0.570826071801
388, GPU[1].SA[0].CU[2], SIMDCPIStack.VMem, 1745.058652840692
389, GPU[1].SA[0].CU[3], CPIStack.Idle, 0.000014076577
390, GPU[1].SA[0].CU[3], CPIStack.Fetch, 0.003828828829
391, GPU[1].SA[0].CU[3], CPIStack.ScalarMemInst, 0.000028153153
392, GPU[1].SA[0].CU[3], CPIStack.total, 963.383760322823
393, GPU[1].SA[0].CU[3], CPIStack.ScalarMem, 0.003899211712
394, GPU[1].SA[0].CU[3], CPIStack.Branch, 0.230522710208
395, GPU[1].SA[0].CU[3], CPIStack.VMemInst, 0.000351914414
396, GPU[1].SA[0].CU[3], CPIStack.VALU, 2.686936936924
397, GPU[1].SA[0].CU[3], CPIStack.VMem, 941.232141516529
398, GPU[1].SA[0].CU[3], CPIStack.Special, 0.000028153153
399, GPU[1].SA[0].CU[3], CPIStack.ScalarInst, 0.307455893396
400, GPU[1].SA[0].CU[3], SIMDCPIStack.Special, 0.000052283025
401, GPU[1].SA[0].CU[3], SIMDCPIStack.ScalarInst, 0.570974207046
402, GPU[1].SA[0].CU[3], SIMDCPIStack.VMem, 1747.955681422121
403, GPU[1].SA[0].CU[3], SIMDCPIStack.VMemInst, 0.000653537818
404, GPU[1].SA[0].CU[3], SIMDCPIStack.Idle, 0.000026141513
405, GPU[1].SA[0].CU[3], SIMDCPIStack.Fetch, 0.007110491460
406, GPU[1].SA[0].CU[3], SIMDCPIStack.ScalarMemInst, 0.000052283025
407, GPU[1].SA[0].CU[3], SIMDCPIStack.VALU, 4.989891948390
